cell_id,x,y,area,green_mean,green_max,red_positive,blue_positive,classification,red_mean,blue_mean,red_max,blue_max,red_positive_fraction,blue_positive_fraction
98,658.4595375722544,864.9248554913295,346,73.57803344726562,106.0,False,False,green_only,3.312,4.725,19.0,173.0,0.0,0.0
99,970.125,866.438596491228,456,129.98464965820312,241.0,True,True,double_positive,120.515,129.542,241.0,207.0,0.7237,0.5987
100,779.6908517350158,877.198738170347,317,75.97476196289062,148.0,False,False,green_only,0.101,30.347,2.0,235.0,0.0,0.0915
101,409.20071684587816,881.3799283154121,279,85.1863784790039,106.0,False,False,green_only,0.183,4.444,3.0,194.0,0.0,0.0036
102,1029.73203125,902.6734375,1280,113.2171859741211,220.0,True,True,double_positive,57.421,88.168,214.0,201.0,0.4023,0.2047
103,961.0752427184466,899.6650485436893,412,100.59465789794922,172.0,False,True,blue_positive,0.158,67.192,13.0,221.0,0.0,0.2209
104,1274.7083969465648,896.7961832061069,1310,95.4885482788086,209.0,False,False,green_only,20.585,43.596,92.0,228.0,0.0252,0.1336
105,425.5753086419753,910.879012345679,1215,102.96790313720703,129.0,False,False,green_only,0.884,65.555,7.0,209.0,0.0,0.1737
106,937.6475644699141,908.3381088825215,349,96.6131820678711,135.0,False,False,green_only,0.017,49.705,3.0,233.0,0.0,0.1547
107,897.7962382445141,930.8662486938349,957,87.84744262695312,202.0,False,False,green_only,0.055,33.842,2.0,236.0,0.0,0.1149
108,810.2857142857143,937.5059523809524,1008,109.5625,204.0,True,True,double_positive,57.578,90.672,188.0,213.0,0.4613,0.3839
109,955.0694864048338,931.0513595166163,331,100.20543670654297,160.0,False,True,blue_positive,0.073,64.997,6.0,237.0,0.0,0.2115
110,458.3723494486853,952.4529262086514,1179,107.44190216064453,129.0,False,False,green_only,0.563,72.811,7.0,193.0,0.0,0.0178
111,1175.3400365630714,956.9670932358318,547,97.48994445800781,178.0,False,False,green_only,25.75,56.141,89.0,236.0,0.1152,0.1718
112,1207.735119047619,960.1220238095239,336,114.9375,219.0,True,True,double_positive,76.318,111.801,172.0,228.0,0.6458,0.4464
113,998.7829293993677,959.4657534246576,949,99.876708984375,152.0,False,True,blue_positive,24.278,62.998,85.0,222.0,0.0337,0.2002
114,1030.9708333333333,961.2291666666666,240,86.87083435058594,144.0,False,False,green_only,0.429,24.042,10.0,230.0,0.0,0.0792
115,886.4735849056603,971.677358490566,530,101.18302154541016,204.0,False,True,blue_positive,0.366,69.13,19.0,225.0,0.0,0.2434
116,663.9123931623932,977.2200854700855,468,80.62393188476562,123.0,False,False,green_only,1.194,24.838,12.0,250.0,0.0,0.0684
117,1135.2075471698113,977.196448390677,901,91.79800415039062,166.0,False,False,green_only,0.295,35.777,13.0,238.0,0.0,0.1032
118,585.5630498533725,974.3475073313783,682,97.89002990722656,202.0,False,False,green_only,0.0,52.664,0.0,231.0,0.0,0.1657
119,1261.0565127498278,976.5196416264645,1451,111.6209487915039,216.0,False,True,blue_positive,16.747,87.83,91.0,213.0,0.0103,0.2764
120,1190.060975609756,980.2032520325204,246,104.82520294189453,174.0,True,True,double_positive,68.077,77.175,161.0,234.0,0.5285,0.2317
121,441.7557251908397,988.5623409669212,786,96.01908111572266,122.0,False,False,green_only,0.707,41.509,3.0,209.0,0.0,0.0611
122,934.2332730560579,998.242314647378,553,91.91681671142578,189.0,False,False,green_only,0.787,33.642,12.0,240.0,0.0,0.0778
123,708.531746031746,1011.4074074074074,378,77.2645492553711,141.0,False,False,green_only,11.553,19.132,40.0,246.0,0.0,0.0529
124,484.2219074598678,1017.2974504249291,1059,113.39849090576172,156.0,False,False,green_only,2.816,97.112,17.0,184.0,0.0,0.0189
125,762.8588957055215,1020.2883435582822,326,85.309814453125,133.0,False,False,green_only,8.291,29.301,44.0,235.0,0.0,0.0798
126,785.2196796338673,1018.5263157894736,437,74.95194244384766,107.0,False,False,green_only,4.27,4.554,23.0,212.0,0.0,0.0114
127,1224.7011952191235,1027.195219123506,251,87.0,128.0,False,False,green_only,0.108,30.625,3.0,250.0,0.0,0.0876
128,946.650623885918,1033.98752228164,561,102.58110809326172,139.0,True,True,double_positive,92.822,70.301,163.0,219.0,0.8717,0.2371
129,597.4739776951673,1027.3039033457248,1076,108.97490692138672,171.0,True,True,double_positive,98.528,81.951,176.0,203.0,0.8309,0.224
130,626.3643031784841,1032.0562347188263,409,98.0684585571289,139.0,True,False,red_positive,110.785,44.672,180.0,237.0,0.9535,0.1271
131,732.8160237388724,1047.8041543026707,337,79.3827896118164,135.0,False,False,green_only,9.353,18.513,43.0,226.0,0.0,0.0475
132,1034.3376865671642,1049.9813432835822,536,94.18470001220703,193.0,True,False,red_positive,107.601,57.256,199.0,237.0,0.7799,0.1996
133,515.0658227848102,1045.926582278481,395,107.85316467285156,121.0,False,False,green_only,2.456,90.737,21.0,193.0,0.0,0.119
134,677.1322314049587,1048.7591499409682,847,93.7237319946289,207.0,False,False,green_only,2.907,42.449,29.0,239.0,0.0,0.1251
135,1060.9612403100775,1060.1976744186047,258,77.22480773925781,121.0,True,False,red_positive,86.624,10.965,212.0,203.0,0.5814,0.031
136,1215.8996960486322,1057.434650455927,329,77.31914520263672,112.0,False,False,green_only,0.049,5.198,2.0,213.0,0.0,0.0122
