cell_id,x,y,area,green_mean,green_max,red_positive,blue_positive,classification,red_mean,blue_mean,red_max,blue_max,red_positive_fraction,blue_positive_fraction
452,937.6205128205128,908.4717948717948,390,95.1025619506836,135.0,False,True,blue_positive,0.015,45.246,3.0,233.0,0.0,0.1872
453,1043.0267489711935,910.3230452674898,486,104.32304382324219,151.0,True,True,double_positive,5.63,68.218,121.0,201.0,0.0412,0.3251
454,1079.0289855072465,917.5,138,82.23188781738281,98.0,False,False,green_only,1.92,3.587,10.0,66.0,0.0,0.0
455,466.6222222222222,921.5111111111111,45,97.15555572509766,123.0,False,True,blue_positive,0.178,59.4,1.0,207.0,0.0,0.2667
456,420.1700680272109,926.5873015873016,441,98.61904907226562,125.0,False,True,blue_positive,1.009,49.828,7.0,204.0,0.0,0.1814
457,947.5135135135135,927.4216216216216,185,98.58378601074219,147.0,False,True,blue_positive,0.032,60.038,6.0,229.0,0.0,0.2486
458,671.2121212121212,925.9333333333333,165,54.70302963256836,64.0,False,False,green_only,0.497,0.0,2.0,0.0,0.0,0.0
459,447.16058394160586,928.2773722627737,137,106.13868713378906,121.0,False,True,blue_positive,0.234,69.577,2.0,193.0,0.0,0.292
460,900.6828978622328,928.229216152019,842,87.16270446777344,202.0,False,True,blue_positive,0.062,32.628,2.0,236.0,0.0,0.1283
461,499.60267857142856,927.7232142857143,224,75.94642639160156,109.0,False,True,blue_positive,0.826,10.049,3.0,211.0,0.0,0.0268
462,726.9055118110236,930.3858267716536,127,53.11811065673828,64.0,False,False,green_only,0.236,0.0,2.0,0.0,0.0,0.0
463,1075.2575757575758,930.0909090909091,66,77.92424011230469,105.0,False,True,blue_positive,0.788,14.273,9.0,213.0,0.0,0.0606
464,816.558692421991,932.8231797919763,673,104.00297546386719,187.0,True,True,double_positive,48.559,77.043,188.0,208.0,0.364,0.3759
465,1289.1237113402062,926.9278350515464,97,68.20618438720703,101.0,False,True,blue_positive,0.0,3.969,0.0,194.0,0.0,0.0206
466,1047.2371794871794,934.2820512820513,156,82.8397445678711,103.0,False,False,green_only,0.019,4.981,3.0,165.0,0.0,0.0064
467,1083.6724137931035,932.5,58,77.70689392089844,95.0,False,True,blue_positive,17.569,6.603,47.0,198.0,0.0,0.0172
468,962.8742857142857,934.9085714285715,175,98.78857421875,160.0,False,True,blue_positive,0.12,59.486,2.0,237.0,0.0,0.2286
469,1293.6615384615384,934.3846153846154,65,63.61538314819336,74.0,False,False,green_only,0.0,0.0,0.0,0.0,0.0,0.0
470,883.9751243781094,941.4626865671642,201,84.69651794433594,126.0,False,True,blue_positive,0.065,25.706,3.0,225.0,0.0,0.0995
471,1077.1818181818182,941.1818181818181,55,80.89090728759766,110.0,False,True,blue_positive,1.818,18.782,10.0,191.0,0.0,0.0545
472,1127.09375,939.9625,160,72.9937515258789,96.0,False,True,blue_positive,0.037,7.631,1.0,201.0,0.0,0.0187
473,1295.3428571428572,943.1809523809524,105,64.38095092773438,82.0,False,False,green_only,0.2,0.0,3.0,0.0,0.0,0.0
474,798.7415143603133,945.0313315926893,383,114.6657943725586,204.0,True,True,double_positive,67.747,103.256,160.0,213.0,0.6162,0.517
475,611.1267605633802,946.6267605633802,142,72.09859466552734,82.0,False,False,green_only,1.577,0.0,4.0,0.0,0.0,0.0
476,427.45283018867923,948.9622641509434,53,88.69811248779297,94.0,False,False,green_only,2.189,0.868,8.0,24.0,0.0,0.0
477,459.582995951417,951.1285425101214,988,107.06376647949219,129.0,False,True,blue_positive,0.507,70.567,7.0,179.0,0.0,0.3117
478,951.6521739130435,952.0978260869565,92,96.32608795166016,129.0,False,True,blue_positive,0.0,75.13,0.0,237.0,0.0,0.3152
479,576.3488372093024,957.3023255813954,43,87.6744155883789,116.0,False,True,blue_positive,0.581,36.535,3.0,206.0,0.0,0.1395
480,596.2549019607843,954.6666666666666,51,92.70587921142578,144.0,False,True,blue_positive,0.0,56.176,0.0,229.0,0.0,0.2157
481,557.1875,957.0703125,128,82.6015625,110.0,False,True,blue_positive,0.273,20.344,1.0,227.0,0.0,0.0703
482,931.8275862068965,956.3586206896551,145,95.33792877197266,147.0,False,True,blue_positive,0.11,55.283,2.0,241.0,0.0,0.2069
483,1051.4563106796118,961.6116504854369,103,76.75727844238281,116.0,False,True,blue_positive,0.107,19.243,2.0,210.0,0.0,0.0777
484,998.7757757757757,959.2642642642643,999,98.81881713867188,152.0,True,True,double_positive,23.459,60.187,85.0,222.0,0.042,0.2492
485,971.5813953488372,961.4651162790698,43,85.53488159179688,136.0,False,True,blue_positive,0.395,39.86,10.0,215.0,0.0,0.1395
486,1031.5827814569536,960.8278145695364,302,84.58609008789062,144.0,False,True,blue_positive,0.341,20.199,10.0,230.0,0.0,0.0762
487,1078.8745098039215,965.5725490196079,255,71.11372375488281,117.0,False,True,blue_positive,0.11,13.965,4.0,229.0,0.0,0.051
488,599.7445255474453,967.2773722627737,137,106.57664489746094,202.0,False,True,blue_positive,0.0,83.577,0.0,231.0,0.0,0.365
489,632.42,970.43,100,87.31999969482422,185.0,False,True,blue_positive,0.07,41.05,2.0,236.0,0.0,0.16
490,660.6980056980057,970.5982905982906,351,81.70085144042969,123.0,False,True,blue_positive,1.652,29.806,12.0,250.0,0.0,0.1054
491,891.3911007025761,970.0468384074942,427,102.23184967041016,204.0,False,True,blue_positive,0.386,76.22,19.0,225.0,0.0,0.3279
492,460.5933609958506,975.9585062240664,241,102.74273681640625,113.0,False,True,blue_positive,1.104,37.398,6.0,155.0,0.0,0.0871
493,619.2,972.5888888888888,90,86.78888702392578,119.0,False,True,blue_positive,0.0,29.444,0.0,231.0,0.0,0.1
494,1043.2790697674418,975.0,43,68.9534912109375,88.0,False,True,blue_positive,0.0,9.326,0.0,189.0,0.0,0.0233
495,1145.6944444444443,975.4340277777778,288,90.70138549804688,138.0,False,True,blue_positive,0.444,27.059,12.0,234.0,0.0,0.0938
496,577.8253588516747,975.5526315789474,418,93.87559509277344,143.0,False,True,blue_positive,0.0,37.651,0.0,229.0,0.0,0.1388
497,873.3457446808511,976.4734042553191,188,87.53191375732422,183.0,False,True,blue_positive,0.904,25.872,12.0,213.0,0.0,0.0798
498,1125.8194207836457,976.3764906303237,587,90.04940032958984,166.0,False,True,blue_positive,0.239,35.4,13.0,238.0,0.0,0.1397
499,593.9554140127389,977.4649681528663,157,97.28025817871094,155.0,False,True,blue_positive,0.0,55.159,0.0,226.0,0.0,0.2357
500,950.7826086956521,976.0289855072464,69,81.60869598388672,100.0,False,True,blue_positive,1.507,11.623,3.0,184.0,0.0,0.0435
501,669.2278481012659,989.5611814345991,237,70.61603546142578,108.0,False,True,blue_positive,0.253,4.937,2.0,198.0,0.0,0.0169
502,1157.5373134328358,986.5820895522388,134,89.1567153930664,122.0,False,True,blue_positive,0.0,27.463,0.0,204.0,0.0,0.0896
503,517.3349056603773,985.3018867924528,212,84.35848999023438,93.0,False,False,green_only,0.047,0.302,2.0,25.0,0.0,0.0
504,440.82598039215685,988.9926470588235,816,94.33455657958984,122.0,False,True,blue_positive,0.718,38.749,3.0,209.0,0.0,0.1091
505,611.9636363636364,994.0545454545454,55,89.5999984741211,99.0,True,False,red_positive,83.218,15.055,149.0,154.0,0.6909,0.0182
506,601.3611111111111,996.1111111111111,72,100.54166412353516,149.0,True,True,double_positive,128.417,51.847,159.0,221.0,1.0,0.1944
507,933.2622377622378,997.4772727272727,572,91.08391571044922,189.0,False,True,blue_positive,0.774,31.783,12.0,240.0,0.0,0.1066
508,590.1190476190476,998.5952380952381,42,96.11904907226562,126.0,True,True,double_positive,134.167,39.333,161.0,198.0,0.9524,0.1429
509,745.7425149700599,1000.5149700598803,167,74.9101791381836,108.0,False,True,blue_positive,1.06,8.695,13.0,201.0,0.0,0.024
510,656.5376344086021,1004.4731182795699,93,80.17204284667969,110.0,False,True,blue_positive,0.0,17.968,0.0,201.0,0.0,0.0538
511,627.5121951219512,1007.7560975609756,82,89.5,101.0,True,True,double_positive,128.744,9.366,155.0,168.0,1.0,0.0122
512,496.03341288782815,1010.5393794749403,419,114.1479721069336,156.0,False,True,blue_positive,1.962,98.532,13.0,184.0,0.0,0.506
513,1190.7808988764045,1010.3314606741573,178,87.7921371459961,107.0,False,True,blue_positive,0.0,15.899,0.0,217.0,0.0,0.0337
514,710.5013698630137,1010.7178082191781,365,76.64383697509766,141.0,False,True,blue_positive,11.882,19.879,40.0,246.0,0.0,0.0712
515,695.0961538461538,1015.2307692307693,52,71.19230651855469,81.0,False,False,green_only,6.808,0.0,24.0,0.0,0.0,0.0
516,477.91602067183464,1021.4198966408269,774,110.34237670898438,141.0,False,True,blue_positive,3.112,81.483,17.0,179.0,0.0,0.4134
517,1010.972602739726,1016.4246575342465,73,68.1369857788086,82.0,True,False,red_positive,36.123,0.0,146.0,0.0,0.2466,0.0
518,1260.5652173913043,1015.3695652173913,46,70.21739196777344,76.0,False,False,green_only,0.696,0.0,4.0,0.0,0.0,0.0
519,1223.9035087719299,1016.859649122807,114,86.74561309814453,122.0,False,True,blue_positive,0.0,31.623,0.0,246.0,0.0,0.114
520,1270.7027027027027,1018.9054054054054,74,58.31081008911133,64.0,False,False,green_only,0.0,0.0,0.0,0.0,0.0,0.0
